"geo","time","children_per_woman_total_fertility"
"ssd",1903,6.64
"ssd",1904,6.64
"ssd",1905,6.64
"ssd",1906,6.64
"ssd",1907,6.64
"ssd",1908,6.64
"ssd",1909,6.64
"ssd",1910,6.64
"ssd",1911,6.64
"ssd",1912,6.64
"ssd",1913,6.64
"ssd",1914,6.64
"ssd",1915,6.64
"ssd",1916,6.64
"ssd",1917,6.64
"ssd",1918,6.64
"ssd",1919,6.64
"ssd",1920,6.64
"ssd",1921,6.64
"ssd",1922,6.64
"ssd",1923,6.64
"ssd",1924,6.64
"ssd",1925,6.64
"ssd",1926,6.64
"ssd",1927,6.64
"ssd",1928,6.64
"ssd",1929,6.65
"ssd",1930,6.65
"ssd",1931,6.65
"ssd",1932,6.65
"ssd",1933,6.65
"ssd",1934,6.65
"ssd",1935,6.65
"ssd",1936,6.66
"ssd",1937,6.66
"ssd",1938,6.66
"ssd",1939,6.66
"ssd",1940,6.66
"ssd",1941,6.66
"ssd",1942,6.66
"ssd",1943,6.67
"ssd",1944,6.67
"ssd",1945,6.67
"ssd",1946,6.67
"ssd",1947,6.67
"ssd",1948,6.67
"ssd",1949,6.67
"ssd",1950,6.68
"ssd",1951,6.67
"ssd",1952,6.65
"ssd",1953,6.64
"ssd",1954,6.64
"ssd",1955,6.63
"ssd",1956,6.64
"ssd",1957,6.65
"ssd",1958,6.66
"ssd",1959,6.67
"ssd",1960,6.69
"ssd",1961,6.71
"ssd",1962,6.74
"ssd",1963,6.76
"ssd",1964,6.79
"ssd",1965,6.81
"ssd",1966,6.83
"ssd",1967,6.85
"ssd",1968,6.87
"ssd",1969,6.88
"ssd",1970,6.89
"ssd",1971,6.9
"ssd",1972,6.91
"ssd",1973,6.92
"ssd",1974,6.93
"ssd",1975,6.93
"ssd",1976,6.93
"ssd",1977,6.91
"ssd",1978,6.9
"ssd",1979,6.87
"ssd",1980,6.85
"ssd",1981,6.83
"ssd",1982,6.81
"ssd",1983,6.81
"ssd",1984,6.81
"ssd",1985,6.81
"ssd",1986,6.82
"ssd",1987,6.82
"ssd",1988,6.81
"ssd",1989,6.79
"ssd",1990,6.76
"ssd",1991,6.73
"ssd",1992,6.69
"ssd",1993,6.64
"ssd",1994,6.6
"ssd",1995,6.55
"ssd",1996,6.5
"ssd",1997,6.44
"ssd",1998,6.38
"ssd",1999,6.3
"ssd",2000,6.22
"ssd",2001,6.14
"ssd",2002,6.05
"ssd",2003,5.97
"ssd",2004,5.89
"ssd",2005,5.8
"ssd",2006,5.72
"ssd",2007,5.64
"ssd",2008,5.55
"ssd",2009,5.47
"ssd",2010,5.38
"ssd",2011,5.29
"ssd",2012,5.2
"ssd",2013,5.11
"ssd",2014,5.02
"ssd",2015,4.94
"ssd",2016,4.86
"ssd",2017,4.77
"ssd",2018,4.7
"tza",1800,6.74
"tza",1801,6.74
"tza",1802,6.74
"tza",1803,6.74
"tza",1804,6.74
"tza",1805,6.74
"tza",1806,6.74
"tza",1807,6.74
"tza",1808,6.74
"tza",1809,6.74
"tza",1810,6.74
"tza",1811,6.74
"tza",1812,6.74
"tza",1813,6.74
"tza",1814,6.74
"tza",1815,6.74
"tza",1816,6.74
"tza",1817,6.74
"tza",1818,6.74
"tza",1819,6.74
"tza",1820,6.74
"tza",1821,6.74
"tza",1822,6.74
"tza",1823,6.74
"tza",1824,6.74
"tza",1825,6.74
"tza",1826,6.74
"tza",1827,6.74
"tza",1828,6.74
"tza",1829,6.74
"tza",1830,6.74
"tza",1831,6.74
"tza",1832,6.74
"tza",1833,6.74
"tza",1834,6.74
"tza",1835,6.74
"tza",1836,6.74
"tza",1837,6.74
"tza",1838,6.74
"tza",1839,6.74
"tza",1840,6.74
"tza",1841,6.74
"tza",1842,6.74
"tza",1843,6.74
"tza",1844,6.74
"tza",1845,6.74
"tza",1846,6.74
"tza",1847,6.74
"tza",1848,6.74
"tza",1849,6.74
"tza",1850,6.74
"tza",1851,6.74
"tza",1852,6.74
"tza",1853,6.74
"tza",1854,6.74
"tza",1855,6.74
"tza",1856,6.74
"tza",1857,6.74
"tza",1858,6.74
"tza",1859,6.74
"tza",1860,6.74
"tza",1861,6.74
"tza",1862,6.74
"tza",1863,6.74
"tza",1864,6.74
"tza",1865,6.74
"tza",1866,6.74
"tza",1867,6.74
"tza",1868,6.74
"tza",1869,6.74
"tza",1870,6.74
"tza",1871,6.74
"tza",1872,6.74
"tza",1873,6.74
"tza",1874,6.74
"tza",1875,6.74
"tza",1876,6.74
"tza",1877,6.74
"tza",1878,6.74
"tza",1879,6.74
"tza",1880,6.74
"tza",1881,6.74
"tza",1882,6.74
"tza",1883,6.74
"tza",1884,6.74
"tza",1885,6.74
"tza",1886,6.74
"tza",1887,6.74
"tza",1888,6.74
"tza",1889,6.74
"tza",1890,6.74
"tza",1891,6.74
"tza",1892,6.74
"tza",1893,6.74
"tza",1894,6.74
"tza",1895,6.74
"tza",1896,6.74
"tza",1897,6.74
"tza",1898,6.74
"tza",1899,6.74
"tza",1900,6.74
"tza",1901,6.74
"tza",1902,6.74
"tza",1903,6.74
"tza",1904,6.74
"tza",1905,6.74
"tza",1906,6.74
"tza",1907,6.74
"tza",1908,6.74
