"geo","time","sulfur_emissions_per_person_kg"
"uga",1904,0.2318
"uga",1905,0.2511
"uga",1906,0.2447
"uga",1907,0.2643
"uga",1908,0.3455
"uga",1909,0.3158
"uga",1910,0.3757
"uga",1911,0.3256
"uga",1912,0.372
"uga",1913,0.4239
"uga",1914,0.457
"uga",1915,0.5211
"uga",1916,0.5715
"uga",1917,0.4896
"uga",1918,0.5241
"uga",1919,0.5719
"uga",1920,0.5985
"uga",1921,0.8189
"uga",1922,0.8262
"uga",1923,0.9912
"uga",1924,1.025
"uga",1925,0.9951
"uga",1926,0.958
"uga",1927,1.027
"uga",1928,1.046
"uga",1929,1.155
"uga",1930,1.235
"uga",1931,0.9995
"uga",1932,0.8144
"uga",1933,0.961
"uga",1934,1.135
"uga",1935,1.19
"uga",1936,1.209
"uga",1937,1.508
"uga",1938,1.421
"uga",1939,1.484
"uga",1940,1.353
"uga",1941,1.369
"uga",1942,1.369
"uga",1943,1.349
"uga",1944,1.287
"uga",1945,1.254
"uga",1946,1.193
"uga",1947,1.24
"uga",1948,1.419
"uga",1949,1.39
"uga",1950,1.378
"uga",1951,1.337
"uga",1952,1.433
"uga",1953,1.46
"uga",1954,1.46
"uga",1955,1.5
"uga",1956,1.609
"uga",1957,1.601
"uga",1958,1.591
"uga",1959,1.612
"uga",1960,1.453
"uga",1961,1.482
"uga",1962,1.498
"uga",1963,1.409
"uga",1964,1.558
"uga",1965,1.65
"uga",1966,1.594
"uga",1967,1.505
"uga",1968,1.574
"uga",1969,1.488
"uga",1970,1.521
"uga",1971,1.536
"uga",1972,1.531
"uga",1973,1.629
"uga",1974,1.695
"uga",1975,1.496
"uga",1976,1.429
"uga",1977,1.499
"uga",1978,1.454
"uga",1979,1.49
"uga",1980,1.55
"uga",1981,1.505
"uga",1982,1.414
"uga",1983,1.288
"uga",1984,1.27
"uga",1985,1.221
"uga",1986,1.191
"uga",1987,1.158
"uga",1988,1.144
"uga",1989,1.12
"uga",1990,1.101
"uga",1991,1.091
"uga",1992,1.078
"uga",1993,1.06
"uga",1994,1.039
"uga",1995,1.023
"uga",1996,1.009
"uga",1997,0.9942
"uga",1998,0.9798
"uga",1999,0.9635
"uga",2000,0.9492
