"geo","time","gapminder_gini"
"ssd",2035,45
"ssd",2036,45
"ssd",2037,45
"ssd",2038,45
"ssd",2039,45
"ssd",2040,45
"tza",1800,27.9
"tza",1801,27.9
"tza",1802,27.9
"tza",1803,27.9
"tza",1804,27.9
"tza",1805,27.9
"tza",1806,27.9
"tza",1807,27.9
"tza",1808,27.9
"tza",1809,27.9
"tza",1810,27.9
"tza",1811,27.9
"tza",1812,27.9
"tza",1813,27.9
"tza",1814,27.9
"tza",1815,27.9
"tza",1816,27.9
"tza",1817,27.9
"tza",1818,27.9
"tza",1819,27.9
"tza",1820,27.9
"tza",1821,27.9
"tza",1822,27.9
"tza",1823,27.9
"tza",1824,27.9
"tza",1825,27.9
"tza",1826,27.9
"tza",1827,27.9
"tza",1828,27.9
"tza",1829,27.9
"tza",1830,27.9
"tza",1831,27.9
"tza",1832,27.9
"tza",1833,27.9
"tza",1834,27.9
"tza",1835,27.9
"tza",1836,27.9
"tza",1837,27.9
"tza",1838,27.9
"tza",1839,27.9
"tza",1840,27.9
"tza",1841,27.9
"tza",1842,27.9
"tza",1843,27.9
"tza",1844,27.9
"tza",1845,27.9
