"geo","time","child_mortality_0_5_year_olds_more_years_version_7"
"rwa",1961,211.9
"rwa",1962,208.8
"rwa",1963,206.5
"rwa",1964,205.4
"rwa",1965,205.2
"rwa",1966,206
"rwa",1967,207.6
"rwa",1968,210.1
"rwa",1969,213.1
"rwa",1970,216.6
"rwa",1971,220.3
"rwa",1972,224.3
"rwa",1973,229.6
"rwa",1974,235.9
"rwa",1975,241.8
"rwa",1976,245.9
"rwa",1977,246.2
"rwa",1978,240.8
"rwa",1979,228.9
"rwa",1980,214
"rwa",1981,198
"rwa",1982,183.3
"rwa",1983,171.9
"rwa",1984,164
"rwa",1985,158.4
"rwa",1986,153.9
"rwa",1987,150.6
"rwa",1988,148.9
"rwa",1989,149.2
"rwa",1990,151.8
"rwa",1991,156.8
"rwa",1992,163.5
"rwa",1993,179
"rwa",1994,287.5
"rwa",1995,253.2
"rwa",1996,190.7
"rwa",1997,215.7
"rwa",1998,230.9
"rwa",1999,198.9
"rwa",2000,181.9
"rwa",2001,167.5
"rwa",2002,151.2
"rwa",2003,135.2
"rwa",2004,120.1
"rwa",2005,106.4
"rwa",2006,94.6
"rwa",2007,84.3
"rwa",2008,75.8
"rwa",2009,69.1
"rwa",2010,63.6
"rwa",2011,58.7
"rwa",2012,54.9
"rwa",2013,52
"ssd",1800,490.1
"ssd",1801,490.1
"ssd",1802,490.1
"ssd",1803,490.1
"ssd",1804,490.1
"ssd",1805,490.1
"ssd",1806,490.1
"ssd",1807,490.1
"ssd",1808,490.1
"ssd",1809,490.1
"ssd",1810,490.1
"ssd",1811,490.1
"ssd",1812,490.1
"ssd",1813,490.1
"ssd",1814,490.1
"ssd",1815,490.1
"ssd",1816,490.1
"ssd",1817,490.1
"ssd",1818,490.1
"ssd",1819,490.1
"ssd",1820,490.1
"ssd",1821,490.1
"ssd",1822,490.1
"ssd",1823,490.1
"ssd",1824,490.1
"ssd",1825,490.1
"ssd",1826,490.1
"ssd",1827,490.1
"ssd",1828,490.1
"ssd",1829,490.1
"ssd",1830,490.1
"ssd",1831,490.1
"ssd",1832,490.1
"ssd",1833,490.1
"ssd",1834,490.1
"ssd",1835,490.1
"ssd",1836,490.1
"ssd",1837,490.1
"ssd",1838,490.1
"ssd",1839,490.1
"ssd",1840,490.1
"ssd",1841,490.1
"ssd",1842,490.1
"ssd",1843,490.1
"ssd",1844,490.1
"ssd",1845,490.1
"ssd",1846,490.1
"ssd",1847,490.1
"ssd",1848,490.1
"ssd",1849,490.1
"ssd",1850,490.1
"ssd",1851,490.1
"ssd",1852,490.1
"ssd",1853,490.1
"ssd",1854,490.1
"ssd",1855,490.1
"ssd",1856,490.1
"ssd",1857,490.1
"ssd",1858,490.1
"ssd",1859,490.1
"ssd",1860,490.1
"ssd",1861,490.1
"ssd",1862,490.1
"ssd",1863,490.1
"ssd",1864,490.1
"ssd",1865,490.1
"ssd",1866,490.1
"ssd",1867,490.1
"ssd",1868,490.1
"ssd",1869,490.1
"ssd",1870,490.1
"ssd",1871,490.1
"ssd",1872,490.1
"ssd",1873,490.1
"ssd",1874,490.1
"ssd",1875,490.1
"ssd",1876,490.1
"ssd",1877,490.1
"ssd",1878,490.1
"ssd",1879,490.1
"ssd",1880,490.1
"ssd",1881,490.1
"ssd",1882,490.1
"ssd",1883,490.1
"ssd",1884,490.1
"ssd",1885,490.1
"ssd",1886,490.1
"ssd",1887,490.1
"ssd",1888,490.1
"ssd",1889,490.1
"ssd",1890,490.1
"ssd",1891,490.1
"ssd",1892,490.1
"ssd",1893,490.1
"ssd",1894,490.1
"ssd",1895,490
"ssd",1896,489.9
"ssd",1897,489.8
"ssd",1898,489.6
"ssd",1899,489.4
"ssd",1900,489
"ssd",1954,374.5
"ssd",1955,371
"ssd",1956,367.3
"ssd",1957,364.8
"ssd",1958,362
"ssd",1959,359.5
"ssd",1960,357
"ssd",1961,354.4
"ssd",1962,352.1
"ssd",1963,348.9
"ssd",1964,345.9
"ssd",1965,343.3
"ssd",1966,340.1
"ssd",1967,337.3
"ssd",1968,334.3
"ssd",1969,331
"ssd",1970,327.8
"ssd",1971,324.2
"ssd",1972,320.8
"ssd",1973,317.6
"ssd",1974,313.8
"ssd",1975,310.3
"ssd",1976,307.5
"ssd",1977,303.9
"ssd",1978,300.5
"ssd",1979,296.9
"ssd",1980,293.8
"ssd",1981,290.8
"ssd",1982,287.1
"ssd",1983,283.5
"ssd",1984,279.8
"ssd",1985,275.6
"ssd",1986,271.5
"ssd",1987,266.8
"ssd",1988,262.3
"ssd",1989,257.7
"ssd",1990,252.9
"ssd",1991,247.9
"ssd",1992,242.6
"ssd",1993,236.8
"ssd",1994,230.4
"ssd",1995,223.7
"ssd",1996,216.5
"ssd",1997,208.8
"ssd",1998,200.4
"ssd",1999,191.7
"ssd",2000,182.5
"ssd",2001,173.2
"ssd",2002,164
"ssd",2003,155.6
"ssd",2004,147.4
"ssd",2005,139.7
"ssd",2006,132.7
"ssd",2007,126.3
"ssd",2008,120.6
"ssd",2009,115.5
"ssd",2010,110.8
"ssd",2011,106.7
"ssd",2012,102.9
"ssd",2013,99.2
"tza",1800,414.9
"tza",1801,414.9
"tza",1802,414.9
"tza",1803,414.9
"tza",1804,414.9
"tza",1805,414.9
"tza",1806,414.9
"tza",1807,414.9
"tza",1808,414.9
"tza",1809,414.9
"tza",1810,414.9
"tza",1811,414.9
"tza",1812,414.9
"tza",1813,414.9
"tza",1814,414.9
"tza",1815,414.9
"tza",1816,414.9
"tza",1817,414.9
"tza",1818,414.9
"tza",1819,414.9
"tza",1820,414.9
"tza",1821,414.9
"tza",1822,414.9
